"Species name","IUCN","FUSE","EDGE2"
"Myliobatis_freminvillei","1","1","1"
"Myliobatis_goodei","1","1","1"
"Myliobatis_hamlyni","4","1","1"
"Myliobatis_longirostris","5","1","1"
"Myliobatis_peruvianus","3","1","1"
"Myliobatis_ridens","1","1","1"
"Myliobatis_tenuicaudatus","3","1","1"
"Myliobatis_tobijei","3","1","1"
"Narcine_atzi","3","1","1"
"Narcine_bancroftii","2","1","1"
"Narcine_brasiliensis","3","1","1"
"Narcine_brevilabiata","3","1","1"
"Narcine_entemedor","5","3","1"
"Narcine_insolita","1","1","1"
"Narcine_lasti","3","1","1"
"Narcine_leoparda","3","1","1"
"Narcine_lingula","1","1","1"
"Narcine_maculata","2","1","1"
"Narcine_nelsoni","3","1","1"
"Narcine_oculifera","3","1","1"
"Narcine_ornata","3","1","1"
"Narcine_prodorsalis","1","1","1"
"Narcine_rierai","3","1","1"
"Narcine_tasmaniensis","3","1","1"
"Narcine_timlei","3","1","1"
"Narcine_vermiculatus","1","1","1"
"Narcine_westraliensis","3","1","1"
"Narke_capensis","1","1","1"
"Narke_dipterygia","4","1","1"
"Nasolamia_velox","3","1","1"
"Nebrius_ferrugineus","1","1","1"
"Negaprion_acutidens","3","1","1"
"Negaprion_brevirostris","1","1","1"
"Neoraja_africana","1","1","1"
"Neoraja_caerulea","1","1","1"
"Neoraja_carolinensis","3","1","1"
"Neoraja_iberica","3","1","1"
"Neoraja_stehmanni","4","1","1"
"Neotrygon_annotata","3","1","1"
"Neotrygon_kuhlii","4","4","1"
"Neotrygon_leylandi","3","1","1"
"Neotrygon_ningalooensis","1","1","1"
"Neotrygon_picta","1","1","1"
"Notoraja_alisae","1","1","1"
"Notoraja_azurea","1","1","1"
"Notoraja_fijiensis","1","1","1"
"Notoraja_hirticauda","2","1","1"
"Notoraja_inusitata","3","1","1"
"Notoraja_longiventralis","1","1","1"
"Notoraja_ochroderma","2","1","1"
"Notoraja_sapphira","1","1","1"
"Notoraja_sticta","1","1","1"
"Notoraja_tobitukai","1","1","1"
"Notorynchus_cepedianus","1","1","1"
"Odontaspis_ferox","1","1","1"
"Odontaspis_noronhai","1","1","1"
"Okamejei_acutispina","1","1","1"
"Okamejei_arafurensis","1","1","1"
"Okamejei_boesemani","1","1","1"
"Okamejei_cairae","1","1","1"
"Okamejei_heemstrai","1","1","1"
"Okamejei_hollandi","3","1","1"
"Okamejei_kenojei","3","1","1"
"Okamejei_leptoura","1","1","1"
"Okamejei_meerdervoortii","3","1","1"
"Okamejei_schmidti","1","1","1"
"Okamejei_jensenae","3","1","1"
"Okamejei_philipi","3","1","1"
"Okamejei_powelli","1","1","1"
